249.05, -729.19, -75.13
249.62, -731.34, -75.67
250.14, -733.37, -76.60
250.57, -735.15, -78.07
250.92, -736.82, -79.68
251.20, -738.36, -81.68
251.38, -739.59, -83.62
251.49, -740.63, -85.09
251.57, -741.54, -86.02
251.63, -742.33, -86.42
251.68, -743.18, -86.49
251.76, -744.42, -86.69
251.83, -745.73, -86.96
251.90, -747.03, -87.63
251.94, -748.01, -88.36
251.96, -748.54, -88.90
251.96, -748.60, -89.23
251.96, -748.47, -89.36
251.96, -748.47, -89.50
251.96, -748.93, -89.43
251.97, -749.52, -89.63
251.97, -749.91, -89.76
251.97, -750.24, -89.96
251.97, -750.04, -90.16
251.97, -749.65, -90.30
251.97, -749.45, -90.37
251.97, -749.45, -90.50
251.97, -749.98, -90.63
251.96, -750.50, -90.63
251.96, -750.57, -90.57
251.96, -750.30, -90.43
251.97, -749.58, -90.37
251.97, -749.06, -90.37
251.98, -748.47, -90.97
251.99, -747.95, -91.77
252.00, -747.49, -93.04
252.02, -747.03, -94.57
252.06, -746.58, -96.38
252.10, -746.25, -98.58
252.15, -745.93, -100.92
252.21, -745.61, -103.79
252.29, -745.29, -106.79
252.36, -745.04, -110.26
252.41, -744.91, -113.87
252.49, -744.73, -117.80
252.58, -744.56, -121.87
252.65, -744.45, -126.27
252.72, -744.34, -130.81
252.72, -744.34, -135.61
252.72, -744.34, -140.54
252.67, -744.39, -145.67
252.62, -744.42, -150.93
252.51, -744.49, -156.53
252.45, -744.51, -161.66
252.38, -744.53, -165.99
252.32, -744.55, -169.53
252.26, -744.56, -172.26
252.06, -744.59, -174.20
252.00, -744.59, -175.47
251.87, -744.60, -176.14
251.93, -744.60, -176.34
251.80, -744.61, -176.47
251.60, -744.62, -176.81
251.41, -744.63, -177.41
251.41, -744.63, -178.21
251.21, -744.64, -179.08
250.56, -744.65, -179.75
249.64, -744.65, 179.58
248.27, -744.64, 178.85
246.70, -744.61, 178.32
244.73, -744.55, 177.65
242.58, -744.46, 177.05
240.03, -744.33, 176.44
237.28, -744.16, 175.91
234.28, -743.95, 175.24
231.02, -743.68, 174.71
227.43, -743.34, 174.11
224.24, -743.01, 173.50
221.64, -742.72, 172.97
219.50, -742.45, 172.64
217.55, -742.20, 172.77
215.80, -741.98, 173.37
214.17, -741.79, 174.37
212.94, -741.67, 175.78
211.76, -741.58, 177.25
210.91, -741.54, 178.38
210.19, -741.52, 179.12
209.54, -741.51, 179.25
